NDLD-元和_000000000_2	0	1460	1470	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和	に
NDLD-元和_000000000_2	0	1470	1480	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和	し
NDLD-元和_000000000_2	0	1480	1490	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	1490	1510	I	なを	猶	ナオ	副詞			ナオ	和	なを
NDLD-元和_000000000_2	0	1510	1530	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和	思ふ
NDLD-元和_000000000_2	0	1530	1540	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	1540	1550	I	も	も	モ	助詞-係助詞			モ	和	も
NDLD-元和_000000000_2	0	1550	1580	I	あまる	余る	アマル	動詞-非自立可能	文語四段-ラ行	連体形-一般	アマル	和	あまる
NDLD-元和_000000000_2	0	1580	1600	I	心ち	心地	ココチ	名詞-普通名詞-一般			ココチ	和	心ち
NDLD-元和_000000000_2	0	1600	1610	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和	そ
NDLD-元和_000000000_2	0	1610	1620	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和	し
NDLD-元和_000000000_2	0	1620	1640	I	給ふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和	給ふ
NDLD-元和_000000000_2	0	1640	1650	I	や	や	ヤ	助詞-係助詞			ヤ	和	や
NDLD-元和_000000000_2	0	1650	1670	B	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和	あり
NDLD-元和_000000000_2	0	1670	1690	I	とも	とも	トモ	助詞-接続助詞			トモ	和	とも
NDLD-元和_000000000_2	0	1690	1750	I	ことごとしう	事々しい	コトゴトシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	コトゴトシュー	和	こと〳〵しう
NDLD-元和_000000000_2	0	1750	1800	I	まことしき	真しい	マコトシイ	形容詞-一般	文語形容詞-シク	連体形-一般	マコトシキ	和	まことしき
NDLD-元和_000000000_2	0	1800	1820	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和	さま
NDLD-元和_000000000_2	0	1820	1830	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	1830	1860	I	おもふ	思う	オモウ	動詞-一般	文語四段-ハ行	終止形-一般	オモウ	和	おもふ
NDLD-元和_000000000_2	0	1860	1880	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和	へき
NDLD-元和_000000000_2	0	1880	1890	I	程	程	ホド	名詞-普通名詞-副詞可能			ホド	和	程
NDLD-元和_000000000_2	0	1890	1900	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	1900	1910	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	1910	1930	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和	あら
NDLD-元和_000000000_2	0	1930	1950	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和	さり
NDLD-元和_000000000_2	0	1950	1970	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和	しか
NDLD-元和_000000000_2	0	1970	1980	I	ど	ど	ド	助詞-接続助詞			ド	和	と
NDLD-元和_000000000_2	0	1980	2000	I	あか	飽く	アク	動詞-一般	文語四段-カ行	未然形-一般	アカ	和	あか
NDLD-元和_000000000_2	0	2000	2010	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和	ぬ
NDLD-元和_000000000_2	0	2010	2040	I	わかれ	別れ	ワカレ	名詞-普通名詞-一般			ワカレ	和	わかれ
NDLD-元和_000000000_2	0	2040	2050	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	2050	2070	I	なに	何	ナニ	代名詞			ナニ	和	なに
NDLD-元和_000000000_2	0	2070	2080	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	2080	2090	I	も	も	モ	助詞-係助詞			モ	和	も
NDLD-元和_000000000_2	0	2090	2120	I	まされ	勝る	マサル	動詞-一般	文語四段-ラ行	已然形-一般	マサレ	和	まされ
NDLD-元和_000000000_2	0	2120	2130	I	ば	ば	バ	助詞-接続助詞			バ	和	は
NDLD-元和_000000000_2	0	2130	2140	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和	に
NDLD-元和_000000000_2	0	2140	2150	I	や	や	ヤ	助詞-係助詞			ヤ	和	や
NDLD-元和_000000000_2	0	2150	2170	I	木草	木草	キクサ	名詞-普通名詞-一般			キクサ	和	木草
NDLD-元和_000000000_2	0	2170	2180	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	2180	2200	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和	つけ
NDLD-元和_000000000_2	0	2200	2210	I	て	て	テ	助詞-接続助詞			テ	和	て
NDLD-元和_000000000_2	0	2210	2220	I	も	も	モ	助詞-係助詞			モ	和	も
NDLD-元和_000000000_2	0	2220	2250	I	わすれ	忘れる	ワスレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ワスレ	和	わすれ
NDLD-元和_000000000_2	0	2250	2280	I	がたふ	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-ウ音便	ガトー	和	かたふ
NDLD-元和_000000000_2	0	2280	2300	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和	のみ
NDLD-元和_000000000_2	0	2300	2330	I	おぼさ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和	おほさ
NDLD-元和_000000000_2	0	2330	2340	I	る	れる	レル	助動詞	文語下二段-ラ行	終止形-一般	ル	和	る
NDLD-元和_000000000_2	0	2340	2350	B	か	彼	カ	代名詞			カ	和	か
NDLD-元和_000000000_2	0	2350	2360	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	2360	2390	I	くだり	下る	クダル	動詞-一般	文語四段-ラ行	連用形-一般	クダリ	和	くたり
NDLD-元和_000000000_2	0	2390	2400	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和	し
NDLD-元和_000000000_2	0	2400	2420	I	式部	式部	シキブ	名詞-普通名詞-一般			シキブ	漢	式部
NDLD-元和_000000000_2	0	2420	2430	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	2430	2460	I	たいう	大夫	タイフ	名詞-普通名詞-一般			ダイブ	漢	たいう
NDLD-元和_000000000_2	0	2460	2470	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	2470	2500	I	ひぜん	ヒゼン	ヒゼン	名詞-固有名詞-地名-一般			ヒゼン	固	ひせん
NDLD-元和_000000000_2	0	2500	2510	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	2510	2530	I	かみ	守	カミ	名詞-普通名詞-一般			カミ	和	かみ
NDLD-元和_000000000_2	0	2530	2540	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	2540	2570	I	おとと	弟	オトウト	名詞-普通名詞-一般			オトト	和	おとゝ
NDLD-元和_000000000_2	0	2570	2580	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和	そ
NDLD-元和_000000000_2	0	2580	2600	I	かし	かし	カシ	助詞-終助詞			カシ	和	かし
NDLD-元和_000000000_2	0	2600	2640	B	さぶらふ	三郎	サブロウ	名詞-普通名詞-一般			サブロー	漢	さふらふ
NDLD-元和_000000000_2	0	2640	2650	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	2650	2680	I	くら人	蔵人	クロウド	名詞-普通名詞-一般			クロード	和	くら人
NDLD-元和_000000000_2	0	2680	2690	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	2690	2700	I	も	も	モ	助詞-係助詞			モ	和	も
NDLD-元和_000000000_2	0	2700	2730	I	いまだ	未だ	イマダ	副詞			イマダ	和	いまた
NDLD-元和_000000000_2	0	2730	2750	I	なら	成る	ナル	動詞-非自立可能	文語四段-ラ行	未然形-一般	ナラ	和	なら
NDLD-元和_000000000_2	0	2750	2760	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和	す
NDLD-元和_000000000_2	0	2760	2800	I	ざうしき	雑色	ゾウシキ	名詞-普通名詞-一般			ゾーシキ	漢	さうしき
NDLD-元和_000000000_2	0	2800	2810	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和	に
NDLD-元和_000000000_2	0	2810	2820	I	て	て	テ	助詞-接続助詞			テ	和	て
NDLD-元和_000000000_2	0	2820	2830	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和	そ
NDLD-元和_000000000_2	0	2830	2850	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和	ある
NDLD-元和_000000000_2	0	2850	2870	B	あに	兄	アニ	名詞-普通名詞-一般			アニ	和	あに
NDLD-元和_000000000_2	0	2870	2880	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	2880	2900	I	蔵人	蔵人	クロウド	名詞-普通名詞-一般			クロード	和	蔵人
NDLD-元和_000000000_2	0	2900	2910	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	2910	2930	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和	なり
NDLD-元和_000000000_2	0	2930	2940	I	て	て	テ	助詞-接続助詞			テ	和	て
NDLD-元和_000000000_2	0	2940	2990	I	いとまなく	暇無い	イトマナイ	形容詞-一般	文語形容詞-ク	連用形-一般	イトマナク	和	いとまなく
NDLD-元和_000000000_2	0	2990	3000	I	成	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和	成
NDLD-元和_000000000_2	0	3000	3010	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和	に
NDLD-元和_000000000_2	0	3010	3020	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和	し
NDLD-元和_000000000_2	0	3020	3030	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和	後
NDLD-元和_000000000_2	0	3030	3040	I	は	は	ハ	助詞-係助詞			ワ	和	は
NDLD-元和_000000000_2	0	3040	3060	I	御身	御身	オンミ	名詞-普通名詞-一般			オンミ	和	御身
NDLD-元和_000000000_2	0	3060	3070	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	3070	3090	I	そふ	沿う	ソウ	動詞-一般	文語四段-ハ行	連体形-一般	ソウ	和	そふ
NDLD-元和_000000000_2	0	3090	3110	I	かげ	影	カゲ	名詞-普通名詞-一般			カゲ	和	かけ
NDLD-元和_000000000_2	0	3110	3130	I	にて	にて	ニテ	助詞-格助詞			ニテ	和	にて
NDLD-元和_000000000_2	0	3130	3150	I	忍び	忍び	シノビ	名詞-普通名詞-一般			シノビ	和	忍ひ
NDLD-元和_000000000_2	0	3150	3160	I	の	の	ノ	助詞-格助詞			ノ	和	の
